+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /admin/                                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 479.000     | 479.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 479.000     | 479.000    |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4868.000   | 4868.000   | 14604.000   | 4868.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /                                            | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 479.000     | 479.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /favicon.ico                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4286.000   | 4286.000   | 4286.000    | 4286.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /img/isuports_light.svg                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1748.000   | 1748.000   | 3496.000    | 1748.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /js/chunk-vendors.40ff55a3.js                | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 131543.000 | 131543.000 | 263086.000  | 131543.000 |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /cdn-cgi/trace                               | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 264.000    | 264.000    | 264.000     | 264.000    |
| 7     | 0   | 7   | 0   | 0   | 0   | GET    | /api/me                                      | 0.001 | 0.002  | 0.006    | 0.001 | 0.002  | 0.002  | 0.002  | 0.001  | 173.000    | 173.000    | 1211.000    | 173.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001 | 0.001  | 0.001  | 0.001  | 0.000  | 177.000    | 177.000    | 177.000     | 177.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /auth/login/admin                            | 0.004 | 0.004  | 0.004    | 0.004 | 0.004  | 0.004  | 0.004  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.024  | 0.024    | 0.008 | 0.024  | 0.024  | 0.024  | 0.011  | 33296.000  | 33296.000  | 99888.000   | 33296.000  |
| 24    | 0   | 24  | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.002 | 0.017  | 0.205    | 0.009 | 0.015  | 0.016  | 0.017  | 0.004  | 2942.000   | 77242.000  | 481478.000  | 20061.583  |
| 14    | 0   | 13  | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.002 | 0.019  | 0.152    | 0.011 | 0.016  | 0.019  | 0.019  | 0.004  | 39.000     | 162.000    | 2071.000    | 147.929    |
| 33    | 0   | 32  | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.003 | 0.028  | 0.434    | 0.013 | 0.022  | 0.025  | 0.028  | 0.006  | 21.000     | 39.000     | 711.000     | 21.545     |
| 106   | 0   | 95  | 0   | 11  | 0   | GET    | /api/player/competitions                     | 0.001 | 0.076  | 1.781    | 0.017 | 0.035  | 0.048  | 0.060  | 0.015  | 39.000     | 2691.000   | 97948.000   | 924.038    |
| 38    | 0   | 37  | 0   | 1   | 0   | POST   | /api/organizer/competitions/add              | 0.002 | 0.044  | 1.006    | 0.026 | 0.033  | 0.035  | 0.044  | 0.007  | 39.000     | 191.000    | 6084.000    | 160.105    |
| 11    | 0   | 6   | 0   | 5   | 0   | POST   | /api/admin/tenants/add                       | 0.001 | 0.101  | 0.358    | 0.033 | 0.061  | 0.101  | 0.101  | 0.030  | 39.000     | 210.000    | 1330.000    | 120.909    |
| 20    | 0   | 20  | 0   | 0   | 0   | GET    | /api/organizer/billing                       | 0.002 | 0.354  | 1.292    | 0.065 | 0.266  | 0.330  | 0.354  | 0.108  | 323.000    | 2824.000   | 26889.000   | 1344.450   |
| 461   | 0   | 410 | 0   | 51  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.001 | 13.945 | 807.494  | 1.752 | 6.862  | 7.934  | 13.693 | 3.257  | 0.000      | 1876.000   | 283249.000  | 614.423    |
| 580   | 0   | 537 | 0   | 43  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.002 | 14.156 | 1241.863 | 2.141 | 7.758  | 8.450  | 13.876 | 3.638  | 0.000      | 14698.000  | 5165699.000 | 8906.378   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /initialize                                  | 2.758 | 2.758  | 2.758    | 2.758 | 2.758  | 2.758  | 2.758  | 0.000  | 55.000     | 55.000     | 55.000      | 55.000     |
| 55    | 0   | 47  | 0   | 8   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.001 | 13.620 | 163.283  | 2.969 | 7.160  | 8.373  | 13.620 | 2.910  | 0.000      | 62.000     | 2729.000    | 49.618     |
| 8     | 0   | 8   | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 1.954 | 5.854  | 31.856   | 3.982 | 5.854  | 5.854  | 5.854  | 1.573  | 12150.000  | 25372.000  | 146307.000  | 18288.375  |
| 14    | 0   | 12  | 0   | 2   | 0   | GET    | /api/admin/tenants/billing                   | 1.302 | 16.787 | 109.420  | 7.816 | 16.435 | 16.787 | 16.787 | 5.141  | 0.000      | 1606.000   | 18360.000   | 1311.429   |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
