+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+--------+--------+--------+--------+--------+-----------+-----------+-------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+--------+--------+--------+--------+--------+-----------+-----------+-------------+-----------+
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 4868.000  | 4868.000  | 4868.000    | 4868.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 479.000   | 479.000   | 479.000     | 479.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 33296.000 | 33296.000 | 33296.000   | 33296.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 177.000   | 177.000   | 177.000     | 177.000   |
| 21    | 0   | 21  | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.004 | 0.020  | 0.169    | 0.008  | 0.011  | 0.015  | 0.020  | 0.004  | 5026.000  | 60689.000 | 448296.000  | 21347.429 |
| 13    | 0   | 12  | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.002 | 0.015  | 0.147    | 0.011  | 0.015  | 0.015  | 0.015  | 0.003  | 39.000    | 165.000   | 1913.000    | 147.154   |
| 31    | 0   | 30  | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.001 | 0.042  | 0.424    | 0.014  | 0.018  | 0.023  | 0.042  | 0.006  | 21.000    | 39.000    | 669.000     | 21.581    |
| 92    | 0   | 82  | 0   | 10  | 0   | GET    | /api/player/competitions                     | 0.001 | 0.065  | 1.663    | 0.018  | 0.043  | 0.052  | 0.065  | 0.017  | 39.000    | 2779.000  | 101044.000  | 1098.304  |
| 35    | 0   | 34  | 0   | 1   | 0   | POST   | /api/organizer/competitions/add              | 0.011 | 0.057  | 1.050    | 0.030  | 0.040  | 0.045  | 0.057  | 0.009  | 39.000    | 182.000   | 5569.000    | 159.114   |
| 11    | 0   | 6   | 0   | 5   | 0   | POST   | /api/admin/tenants/add                       | 0.001 | 0.086  | 0.386    | 0.035  | 0.064  | 0.086  | 0.086  | 0.028  | 39.000    | 187.000   | 1284.000    | 116.727   |
| 18    | 0   | 18  | 0   | 0   | 0   | GET    | /api/organizer/billing                       | 0.004 | 3.372  | 6.337    | 0.352  | 1.499  | 3.372  | 3.372  | 0.837  | 323.000   | 4911.000  | 29105.000   | 1616.944  |
| 330   | 0   | 316 | 0   | 14  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.001 | 18.885 | 674.126  | 2.043  | 7.925  | 10.485 | 18.525 | 4.135  | 0.000     | 1507.000  | 236466.000  | 716.564   |
| 497   | 0   | 480 | 0   | 17  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.002 | 18.867 | 1183.635 | 2.382  | 10.000 | 12.406 | 18.594 | 4.541  | 0.000     | 14712.000 | 4274961.000 | 8601.531  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /initialize                                  | 2.788 | 2.788  | 2.788    | 2.788  | 2.788  | 2.788  | 2.788  | 0.000  | 55.000    | 55.000    | 55.000      | 55.000    |
| 51    | 0   | 45  | 0   | 6   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.002 | 18.063 | 164.411  | 3.224  | 7.643  | 10.503 | 18.063 | 3.494  | 0.000     | 62.000    | 2626.000    | 51.490    |
| 7     | 0   | 7   | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 2.102 | 6.532  | 28.101   | 4.014  | 6.532  | 6.532  | 6.532  | 1.750  | 12150.000 | 26268.000 | 124743.000  | 17820.429 |
| 11    | 0   | 9   | 0   | 2   | 0   | GET    | /api/admin/tenants/billing                   | 0.972 | 31.350 | 110.181  | 10.016 | 22.241 | 31.350 | 31.350 | 8.750  | 0.000     | 1541.000  | 13658.000   | 1241.636  |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+--------+--------+--------+--------+--------+-----------+-----------+-------------+-----------+
