+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90  |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 479.000     | 479.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /js/chunk-vendors.40ff55a3.js                | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 131543.000 | 131543.000 | 131543.000  | 131543.000 |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 4868.000   | 4868.000   | 9736.000    | 4868.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 33296.000  | 33296.000  | 66592.000   | 33296.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /img/isuports_light.svg                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 1748.000   | 1748.000   | 1748.000    | 1748.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /admin/                                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 479.000     | 479.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /favicon.ico                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 4286.000   | 4286.000   | 4286.000    | 4286.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/me                                      | 0.001 | 0.001  | 0.001    | 0.000 | 0.001 | 0.001  | 0.001  | 0.000  | 173.000    | 173.000    | 519.000     | 173.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001 | 0.001 | 0.001  | 0.001  | 0.000  | 177.000    | 177.000    | 177.000     | 177.000    |
