+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90  |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 4868.000  | 4868.000   | 9736.000     | 4868.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 479.000   | 479.000    | 958.000      | 479.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 33296.000 | 33296.000  | 66592.000    | 33296.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.002  | 0.003    | 0.002 | 0.002 | 0.002  | 0.002  | 0.001  | 177.000   | 177.000    | 354.000      | 177.000   |
| 32    | 0   | 30   | 0   | 2   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.008 | 0.113  | 1.066    | 0.033 | 0.073 | 0.113  | 0.113  | 0.028  | 39.000    | 163.000    | 4778.000     | 149.312   |
| 93    | 0   | 91   | 0   | 2   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.006 | 0.390  | 3.510    | 0.038 | 0.075 | 0.104  | 0.390  | 0.046  | 21.000    | 39.000     | 1989.000     | 21.387    |
| 23    | 0   | 13   | 0   | 10  | 0   | POST   | /api/admin/tenants/add                       | 0.002 | 0.152  | 1.076    | 0.047 | 0.108 | 0.114  | 0.152  | 0.041  | 39.000    | 207.000    | 2796.000     | 121.565   |
| 73    | 0   | 73   | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.006 | 0.804  | 3.588    | 0.049 | 0.087 | 0.108  | 0.804  | 0.098  | 2942.000  | 115594.000 | 1541451.000  | 21115.767 |
| 393   | 0   | 366  | 0   | 27  | 0   | GET    | /api/player/competitions                     | 0.001 | 0.550  | 23.996   | 0.061 | 0.130 | 0.177  | 0.313  | 0.063  | 39.000    | 2640.000   | 488565.000   | 1243.168  |
| 101   | 0   | 99   | 0   | 2   | 0   | POST   | /api/organizer/competitions/add              | 0.011 | 0.660  | 9.728    | 0.096 | 0.243 | 0.330  | 0.537  | 0.111  | 39.000    | 189.000    | 16309.000    | 161.475   |
| 18    | 0   | 18   | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 0.026 | 0.365  | 2.309    | 0.128 | 0.337 | 0.365  | 0.365  | 0.111  | 12150.000 | 26940.000  | 347614.000   | 19311.889 |
| 139   | 0   | 126  | 0   | 12  | 1   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.005 | 1.973  | 32.383   | 0.233 | 0.548 | 0.670  | 1.503  | 0.282  | 0.000     | 62.000     | 7222.000     | 51.957    |
| 1     | 0   | 0    | 0   | 1   | 0   | -      | -                                            | 0.288 | 0.288  | 0.288    | 0.288 | 0.288 | 0.288  | 0.288  | 0.000  | 166.000   | 166.000    | 166.000      | 166.000   |
| 2271  | 0   | 2207 | 0   | 64  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.003 | 4.515  | 1166.759 | 0.514 | 1.428 | 1.881  | 2.554  | 0.611  | 0.000     | 14696.000  | 22276635.000 | 9809.174  |
| 3170  | 0   | 3090 | 0   | 80  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.002 | 4.521  | 2243.582 | 0.708 | 1.673 | 1.929  | 2.601  | 0.647  | 0.000     | 2332.000   | 3142676.000  | 991.380   |
| 54    | 0   | 52   | 0   | 2   | 0   | GET    | /api/organizer/billing                       | 0.002 | 30.001 | 126.639  | 2.345 | 7.449 | 11.158 | 30.001 | 5.217  | 0.000     | 5518.000   | 103387.000   | 1914.574  |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /initialize                                  | 2.844 | 2.848  | 5.692    | 2.846 | 2.848 | 2.848  | 2.848  | 0.002  | 55.000    | 55.000     | 110.000      | 55.000    |
| 42    | 0   | 40   | 0   | 2   | 0   | GET    | /api/admin/tenants/billing                   | 0.627 | 28.619 | 194.975  | 4.642 | 6.315 | 7.122  | 28.619 | 4.715  | 0.000     | 1591.000   | 60582.000    | 1442.429  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
