+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+-----------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+-----------+--------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 479.000   | 479.000   | 479.000      | 479.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 33296.000 | 33296.000 | 33296.000    | 33296.000 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 4868.000  | 4868.000  | 4868.000     | 4868.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001 | 0.001 | 0.001 | 0.001  | 0.000  | 177.000   | 177.000   | 177.000      | 177.000   |
| 38    | 0   | 38   | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.003 | 0.109  | 0.848    | 0.022 | 0.055 | 0.057 | 0.109  | 0.021  | 7089.000  | 57950.000 | 687858.000   | 18101.526 |
| 17    | 0   | 16   | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.007 | 0.051  | 0.403    | 0.024 | 0.037 | 0.051 | 0.051  | 0.010  | 39.000    | 162.000   | 2528.000     | 148.706   |
| 50    | 0   | 49   | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.007 | 0.271  | 1.723    | 0.034 | 0.058 | 0.106 | 0.271  | 0.042  | 21.000    | 39.000    | 1068.000     | 21.360    |
| 226   | 0   | 212  | 0   | 14  | 0   | GET    | /api/player/competitions                     | 0.001 | 0.460  | 9.731    | 0.043 | 0.086 | 0.113 | 0.191  | 0.049  | 39.000    | 2431.000  | 271607.000   | 1201.801  |
| 11    | 0   | 6    | 0   | 5   | 0   | POST   | /api/admin/tenants/add                       | 0.003 | 0.104  | 0.541    | 0.049 | 0.099 | 0.104 | 0.104  | 0.038  | 39.000    | 192.000   | 1292.000     | 117.455   |
| 53    | 0   | 52   | 0   | 1   | 0   | POST   | /api/organizer/competitions/add              | 0.011 | 0.286  | 2.832    | 0.053 | 0.097 | 0.207 | 0.286  | 0.053  | 39.000    | 186.000   | 8520.000     | 160.755   |
| 7     | 0   | 7    | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 0.021 | 0.137  | 0.605    | 0.086 | 0.137 | 0.137 | 0.137  | 0.044  | 12150.000 | 22460.000 | 123175.000   | 17596.429 |
| 73    | 0   | 68   | 0   | 5   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.014 | 0.980  | 12.117   | 0.166 | 0.341 | 0.494 | 0.980  | 0.171  | 39.000    | 62.000    | 3855.000     | 52.808    |
| 1237  | 0   | 1204 | 0   | 33  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.002 | 4.146  | 620.297  | 0.501 | 1.476 | 2.175 | 3.477  | 0.697  | 0.000     | 14709.000 | 12079045.000 | 9764.790  |
| 1641  | 0   | 1598 | 0   | 43  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.001 | 4.004  | 1231.573 | 0.751 | 2.052 | 2.407 | 3.398  | 0.796  | 0.000     | 2094.000  | 1754106.000  | 1068.925  |
| 29    | 0   | 27   | 0   | 2   | 0   | GET    | /api/organizer/billing                       | 0.001 | 30.000 | 63.842   | 2.201 | 5.935 | 8.912 | 30.000 | 5.660  | 0.000     | 5478.000  | 56143.000    | 1935.966  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /initialize                                  | 2.809 | 2.809  | 2.809    | 2.809 | 2.809 | 2.809 | 2.809  | 0.000  | 55.000    | 55.000    | 55.000       | 55.000    |
| 23    | 0   | 22   | 0   | 1   | 0   | GET    | /api/admin/tenants/billing                   | 0.537 | 32.378 | 92.251   | 4.011 | 4.056 | 4.457 | 32.378 | 6.124  | 0.000     | 1557.000  | 33259.000    | 1446.043  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+-----------+--------------+-----------+
