+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)  | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 479.000   | 479.000    | 479.000     | 479.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 33296.000 | 33296.000  | 33296.000   | 33296.000 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4868.000  | 4868.000   | 4868.000    | 4868.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001 | 0.001  | 0.001  | 0.001  | 0.000  | 177.000   | 177.000    | 177.000     | 177.000   |
| 11    | 0   | 6    | 0   | 5   | 0   | POST   | /api/admin/tenants/add                       | 0.001 | 0.347  | 1.014    | 0.092 | 0.243  | 0.347  | 0.347  | 0.105  | 39.000    | 218.000    | 1385.000    | 125.909   |
| 9     | 0   | 8    | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.011 | 0.407  | 1.038    | 0.115 | 0.407  | 0.407  | 0.407  | 0.125  | 39.000    | 161.000    | 1302.000    | 144.667   |
| 193   | 0   | 186  | 0   | 7   | 0   | GET    | /api/player/competitions                     | 0.001 | 0.806  | 33.031   | 0.171 | 0.416  | 0.465  | 0.775  | 0.155  | 39.000    | 3141.000   | 278990.000  | 1445.544  |
| 27    | 0   | 27   | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.010 | 0.710  | 4.881    | 0.181 | 0.437  | 0.469  | 0.710  | 0.159  | 2942.000  | 114637.000 | 698995.000  | 25888.704 |
| 9     | 0   | 9    | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 0.054 | 0.566  | 1.989    | 0.221 | 0.566  | 0.566  | 0.566  | 0.192  | 12150.000 | 24924.000  | 172575.000  | 19175.000 |
| 35    | 0   | 34   | 0   | 1   | 0   | POST   | /api/organizer/competitions/add              | 0.010 | 0.829  | 8.111    | 0.232 | 0.456  | 0.556  | 0.829  | 0.169  | 39.000    | 182.000    | 5582.000    | 159.486   |
| 33    | 0   | 32   | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.006 | 1.004  | 8.859    | 0.268 | 0.667  | 0.761  | 1.004  | 0.258  | 21.000    | 39.000     | 711.000     | 21.545    |
| 47    | 0   | 42   | 0   | 5   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.016 | 2.960  | 26.185   | 0.557 | 1.249  | 1.466  | 2.960  | 0.529  | 39.000    | 62.000     | 2473.000    | 52.617    |
| 1451  | 0   | 1406 | 0   | 45  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.002 | 3.982  | 1140.331 | 0.786 | 2.147  | 2.595  | 3.095  | 0.794  | 0.000     | 2738.000   | 1494952.000 | 1030.291  |
| 910   | 0   | 891  | 0   | 19  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.010 | 4.181  | 748.659  | 0.823 | 1.647  | 2.060  | 2.989  | 0.649  | 0.000     | 14741.000  | 8920677.000 | 9802.942  |
| 22    | 0   | 20   | 0   | 2   | 0   | GET    | /api/organizer/billing                       | 0.002 | 8.745  | 42.231   | 1.920 | 5.176  | 6.433  | 8.745  | 2.334  | 0.000     | 6614.000   | 45726.000   | 2078.455  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /initialize                                  | 3.812 | 3.812  | 3.812    | 3.812 | 3.812  | 3.812  | 3.812  | 0.000  | 55.000    | 55.000     | 55.000      | 55.000    |
| 19    | 0   | 17   | 0   | 2   | 0   | GET    | /api/admin/tenants/billing                   | 0.547 | 20.967 | 100.411  | 5.285 | 10.637 | 20.967 | 20.967 | 4.476  | 0.000     | 1628.000   | 25913.000   | 1363.842  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
