+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 479.000   | 479.000    | 1437.000     | 479.000   |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 33296.000 | 33296.000  | 99888.000    | 33296.000 |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4868.000  | 4868.000   | 14604.000    | 4868.000  |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.003    | 0.001 | 0.001  | 0.001  | 0.001  | 0.000  | 177.000   | 177.000    | 531.000      | 177.000   |
| 37    | 0   | 22   | 0   | 15  | 0   | POST   | /api/admin/tenants/add                       | 0.001 | 1.571  | 8.347    | 0.226 | 0.737  | 1.415  | 1.571  | 0.371  | 39.000    | 203.000    | 4673.000     | 126.297   |
| 19    | 0   | 16   | 0   | 3   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.010 | 1.237  | 5.134    | 0.270 | 0.843  | 1.237  | 1.237  | 0.335  | 39.000    | 162.000    | 2634.000     | 138.632   |
| 65    | 0   | 65   | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.004 | 1.898  | 17.999   | 0.277 | 0.733  | 1.018  | 1.898  | 0.391  | 3088.000  | 602067.000 | 3768702.000  | 57980.031 |
| 365   | 0   | 352  | 0   | 13  | 0   | GET    | /api/player/competitions                     | 0.001 | 11.395 | 200.450  | 0.549 | 1.419  | 2.050  | 4.960  | 0.985  | 39.000    | 2655.000   | 374475.000   | 1025.959  |
| 62    | 0   | 59   | 0   | 3   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.003 | 5.069  | 37.403   | 0.603 | 1.640  | 2.413  | 5.069  | 1.015  | 21.000    | 39.000     | 1356.000     | 21.871    |
| 28    | 0   | 26   | 0   | 2   | 0   | POST   | /api/organizer/players/add                   | 0.029 | 3.627  | 24.232   | 0.865 | 2.104  | 2.196  | 3.627  | 0.835  | 0.000     | 26492.000  | 497281.000   | 17760.036 |
| 83    | 0   | 76   | 0   | 7   | 0   | POST   | /api/organizer/competitions/add              | 0.024 | 8.408  | 74.081   | 0.893 | 2.080  | 3.071  | 8.408  | 1.333  | 0.000     | 182.000    | 12375.000    | 149.096   |
| 107   | 0   | 88   | 0   | 17  | 2   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.003 | 8.529  | 111.760  | 1.044 | 3.241  | 3.780  | 8.121  | 1.577  | 39.000    | 62.000     | 5455.000     | 50.981    |
| 1736  | 0   | 1688 | 0   | 48  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.001 | 17.050 | 2191.529 | 1.262 | 2.539  | 4.478  | 10.310 | 1.918  | 0.000     | 2260.000   | 1202615.000  | 692.751   |
| 1567  | 0   | 1509 | 0   | 58  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.004 | 15.362 | 2752.740 | 1.757 | 3.824  | 5.259  | 10.400 | 1.937  | 0.000     | 14741.000  | 14987513.000 | 9564.463  |
| 3     | 0   | 3    | 0   | 0   | 0   | POST   | /initialize                                  | 2.819 | 3.142  | 8.936    | 2.979 | 3.142  | 3.142  | 3.142  | 0.132  | 55.000    | 55.000     | 165.000      | 55.000    |
| 80    | 0   | 77   | 0   | 3   | 0   | GET    | /api/admin/tenants/billing                   | 0.001 | 19.126 | 278.529  | 3.482 | 6.002  | 9.698  | 19.126 | 3.477  | 0.000     | 1572.000   | 111910.000   | 1398.875  |
| 41    | 0   | 38   | 0   | 3   | 0   | GET    | /api/organizer/billing                       | 0.003 | 20.901 | 171.322  | 4.179 | 13.863 | 16.828 | 20.901 | 5.491  | 0.000     | 4352.000   | 56512.000    | 1378.341  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
