+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 479.000   | 479.000    | 479.000      | 479.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 33296.000 | 33296.000  | 33296.000    | 33296.000 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 4868.000  | 4868.000   | 4868.000     | 4868.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001   | 0.001 | 0.001 | 0.001  | 0.001  | 0.000  | 177.000   | 177.000    | 177.000      | 177.000   |
| 11    | 0   | 6    | 0   | 5   | 0   | POST   | /api/admin/tenants/add                       | 0.003 | 0.102  | 0.558   | 0.051 | 0.100 | 0.102  | 0.102  | 0.039  | 39.000    | 197.000    | 1287.000     | 117.000   |
| 11    | 0   | 10   | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.010 | 0.419  | 1.307   | 0.119 | 0.186 | 0.419  | 0.419  | 0.115  | 39.000    | 165.000    | 1619.000     | 147.182   |
| 37    | 0   | 36   | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.011 | 0.424  | 5.135   | 0.139 | 0.345 | 0.399  | 0.424  | 0.117  | 21.000    | 39.000     | 795.000      | 21.486    |
| 35    | 0   | 35   | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.011 | 1.067  | 5.427   | 0.155 | 0.345 | 0.607  | 1.067  | 0.209  | 3897.000  | 203091.000 | 1575962.000  | 45027.486 |
| 236   | 0   | 222  | 0   | 14  | 0   | GET    | /api/player/competitions                     | 0.001 | 1.064  | 37.825  | 0.160 | 0.391 | 0.581  | 0.886  | 0.192  | 0.000     | 2669.000   | 247951.000   | 1050.640  |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 0.038 | 0.643  | 2.607   | 0.186 | 0.414 | 0.643  | 0.643  | 0.167  | 12150.000 | 26268.000  | 279947.000   | 19996.214 |
| 43    | 0   | 42   | 0   | 1   | 0   | POST   | /api/organizer/competitions/add              | 0.009 | 0.900  | 9.467   | 0.220 | 0.461 | 0.694  | 0.900  | 0.200  | 39.000    | 183.000    | 6933.000     | 161.233   |
| 57    | 0   | 49   | 0   | 8   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.015 | 1.606  | 21.684  | 0.380 | 0.889 | 1.428  | 1.606  | 0.368  | 0.000     | 62.000     | 2856.000     | 50.105    |
| 2219  | 0   | 2190 | 0   | 29  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.003 | 2.399  | 977.421 | 0.440 | 0.904 | 1.074  | 1.539  | 0.346  | 0.000     | 2135.000   | 1959992.000  | 883.277   |
| 1239  | 0   | 1201 | 0   | 38  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.010 | 3.715  | 984.795 | 0.795 | 1.733 | 2.156  | 3.089  | 0.676  | 0.000     | 14573.000  | 12967694.000 | 10466.258 |
| 26    | 0   | 26   | 0   | 0   | 0   | GET    | /api/organizer/billing                       | 0.002 | 6.462  | 32.315  | 1.243 | 3.345 | 5.106  | 6.462  | 1.626  | 323.000   | 4383.000   | 49252.000    | 1894.308  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /initialize                                  | 2.990 | 2.990  | 2.990   | 2.990 | 2.990 | 2.990  | 2.990  | 0.000  | 55.000    | 55.000     | 55.000       | 55.000    |
| 19    | 0   | 18   | 0   | 1   | 0   | GET    | /api/admin/tenants/billing                   | 0.573 | 27.168 | 100.296 | 5.279 | 9.644 | 27.168 | 27.168 | 5.648  | 0.000     | 1552.000   | 27334.000    | 1438.632  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
