+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 479.000   | 479.000    | 479.000      | 479.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 33296.000 | 33296.000  | 33296.000    | 33296.000 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 4868.000  | 4868.000   | 4868.000     | 4868.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001 | 0.001 | 0.001 | 0.001  | 0.000  | 177.000   | 177.000    | 177.000      | 177.000   |
| 11    | 0   | 6    | 0   | 5   | 0   | POST   | /api/admin/tenants/add                       | 0.003 | 0.137  | 0.469    | 0.043 | 0.108 | 0.137 | 0.137  | 0.043  | 39.000    | 204.000    | 1328.000     | 120.727   |
| 10    | 0   | 9    | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.005 | 0.610  | 1.214    | 0.121 | 0.184 | 0.610 | 0.610  | 0.172  | 39.000    | 161.000    | 1454.000     | 145.400   |
| 13    | 0   | 13   | 0   | 0   | 0   | POST   | /api/organizer/players/add                   | 0.022 | 0.374  | 1.845    | 0.142 | 0.350 | 0.374 | 0.374  | 0.125  | 12150.000 | 24924.000  | 248751.000   | 19134.692 |
| 242   | 0   | 233  | 0   | 9   | 0   | GET    | /api/player/competitions                     | 0.002 | 0.944  | 35.395   | 0.146 | 0.326 | 0.428 | 0.857  | 0.160  | 0.000     | 3312.000   | 400378.000   | 1654.455  |
| 36    | 0   | 36   | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.003 | 0.496  | 5.471    | 0.152 | 0.389 | 0.404 | 0.496  | 0.148  | 2466.000  | 171810.000 | 1253751.000  | 34826.417 |
| 42    | 0   | 41   | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.010 | 0.922  | 7.967    | 0.190 | 0.380 | 0.727 | 0.922  | 0.217  | 21.000    | 39.000     | 900.000      | 21.429    |
| 45    | 0   | 44   | 0   | 1   | 0   | POST   | /api/organizer/competitions/add              | 0.015 | 1.119  | 10.346   | 0.230 | 0.562 | 0.735 | 1.119  | 0.237  | 39.000    | 189.000    | 7263.000     | 161.400   |
| 58    | 0   | 53   | 0   | 5   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/score   | 0.004 | 1.938  | 24.734   | 0.426 | 1.066 | 1.319 | 1.938  | 0.421  | 39.000    | 62.000     | 3071.000     | 52.948    |
| 2433  | 0   | 2384 | 0   | 49  | 0   | GET    | /api/player/player/[0-9a-z]+                 | 0.002 | 2.211  | 1164.720 | 0.479 | 0.985 | 1.191 | 1.589  | 0.355  | 0.000     | 2490.000   | 2653909.000  | 1090.797  |
| 1337  | 0   | 1306 | 0   | 31  | 0   | GET    | /api/player/competition/[0-9a-z]+/ranking    | 0.009 | 3.348  | 873.269  | 0.653 | 1.443 | 1.726 | 2.325  | 0.544  | 0.000     | 14623.000  | 13233835.000 | 9898.156  |
| 29    | 0   | 28   | 0   | 1   | 0   | GET    | /api/organizer/billing                       | 0.004 | 6.140  | 33.310   | 1.149 | 2.852 | 2.943 | 6.140  | 1.323  | 0.000     | 6892.000   | 80393.000    | 2772.172  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /initialize                                  | 2.814 | 2.814  | 2.814    | 2.814 | 2.814 | 2.814 | 2.814  | 0.000  | 55.000    | 55.000     | 55.000       | 55.000    |
| 20    | 0   | 18   | 0   | 2   | 0   | GET    | /api/admin/tenants/billing                   | 0.530 | 35.053 | 93.716   | 4.686 | 6.125 | 6.582 | 35.053 | 7.172  | 0.000     | 1572.000   | 27223.000    | 1361.150  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+------------+--------------+-----------+
