+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+-------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)  | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+-------------+-----------+
| 139   | 0   | 24   | 115  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 336.000    | 8064.000    | 58.014    |
| 64    | 0   | 19   | 45   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 13376.000   | 209.000   |
| 76    | 0   | 6    | 70   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 4224.000    | 55.579    |
| 139   | 0   | 24   | 115  | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 16958.000  | 406992.000  | 2928.000  |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000   | 704.000    | 704.000     | 704.000   |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000  | 1020.000   | 1020.000    | 1020.000  |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000   | 783.000    | 783.000     | 783.000   |
| 578   | 0   | 173  | 405  | 0   | 0   | GET    | /images/.+                          | 0.000 | 0.004 | 0.005    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 549793.000 | 4800396.000 | 8305.183  |
| 2364  | 0   | 549  | 1815 | 0   | 0   | GET    | /assets/.+                          | 0.000 | 0.011 | 0.043    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 184569.000 | 8543994.000 | 3614.211  |
| 5     | 0   | 5    | 0    | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.009 | 0.037    | 0.007 | 0.009 | 0.009 | 0.009 | 0.001  | 125.000   | 125.000    | 625.000     | 125.000   |
| 22    | 0   | 22   | 0    | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.094 | 0.259    | 0.012 | 0.009 | 0.020 | 0.094 | 0.018  | 75.000    | 75.000     | 1650.000    | 75.000    |
| 165   | 0   | 157  | 0    | 0   | 8   | GET    | /api/internal/matching              | 0.001 | 0.686 | 6.843    | 0.041 | 0.154 | 0.249 | 0.589 | 0.107  | 0.000     | 166.000    | 1328.000    | 8.048     |
| 18    | 0   | 18   | 0    | 0   | 0   | POST   | /api/app/users                      | 0.006 | 0.160 | 0.800    | 0.044 | 0.111 | 0.160 | 0.160 | 0.047  | 86.000    | 86.000     | 1548.000    | 86.000    |
| 32    | 0   | 32   | 0    | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.137 | 1.684    | 0.053 | 0.106 | 0.112 | 0.137 | 0.035  | 26.000    | 29.000     | 882.000     | 27.562    |
| 22    | 0   | 22   | 0    | 0   | 0   | POST   | /api/chair/activity                 | 0.017 | 0.181 | 1.995    | 0.091 | 0.181 | 0.181 | 0.181 | 0.067  | 0.000     | 0.000      | 0.000       | 0.000     |
| 18    | 0   | 18   | 0    | 0   | 0   | POST   | /api/app/payment-methods            | 0.023 | 0.173 | 1.876    | 0.104 | 0.163 | 0.173 | 0.173 | 0.049  | 0.000     | 0.000      | 0.000       | 0.000     |
| 36    | 0   | 36   | 0    | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.355 | 4.031    | 0.112 | 0.321 | 0.323 | 0.355 | 0.109  | 12.000    | 2158.000   | 9278.000    | 257.722   |
| 34    | 0   | 34   | 0    | 0   | 0   | POST   | /api/chair/rides/[0-9A-Z]+/status   | 0.040 | 0.297 | 4.569    | 0.134 | 0.237 | 0.290 | 0.297 | 0.068  | 0.000     | 0.000      | 0.000       | 0.000     |
| 7904  | 0   | 7890 | 0    | 14  | 0   | GET    | /api/chair/notification             | 0.004 | 0.557 | 1063.288 | 0.135 | 0.271 | 0.315 | 0.399 | 0.092  | 0.000     | 267.000    | 874709.000  | 110.667   |
