+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /fapi/v1/order                      | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 134.000   | 134.000    | 134.000      | 134.000   |
| 3     | 0   | 3     | 0    | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000   | 783.000    | 2349.000     | 783.000   |
| 287   | 0   | 85    | 202  | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 59840.000    | 208.502   |
| 631   | 0   | 100   | 531  | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 16958.000  | 1695800.000  | 2687.480  |
| 3     | 0   | 3     | 0    | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000   | 704.000    | 2112.000     | 704.000   |
| 3     | 0   | 3     | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000  | 1020.000   | 3060.000     | 1020.000  |
| 631   | 0   | 100   | 531  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 336.000    | 33600.000    | 53.249    |
| 347   | 0   | 18    | 329  | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 12672.000    | 36.519    |
| 2589  | 0   | 771   | 1818 | 0   | 0   | GET    | /images/.+                          | 0.000 | 0.001 | 0.002    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 549793.000 | 20658236.000 | 7979.234  |
| 10660 | 0   | 2291  | 8369 | 0   | 0   | GET    | /assets/.+                          | 0.000 | 0.008 | 0.156    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 184569.000 | 35534378.000 | 3333.431  |
| 15    | 0   | 15    | 0    | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.008 | 0.101    | 0.007 | 0.008 | 0.008 | 0.008 | 0.001  | 125.000   | 125.000    | 1875.000     | 125.000   |
| 72    | 0   | 72    | 0    | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.028 | 0.668    | 0.009 | 0.018 | 0.023 | 0.028 | 0.005  | 75.000    | 75.000     | 5400.000     | 75.000    |
| 132   | 0   | 132   | 0    | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.092 | 2.099    | 0.016 | 0.034 | 0.039 | 0.091 | 0.016  | 26.000    | 29.000     | 3666.000     | 27.773    |
| 1098  | 0   | 1086  | 0    | 0   | 12  | GET    | /api/internal/matching              | 0.001 | 1.186 | 22.769   | 0.021 | 0.019 | 0.130 | 0.420 | 0.086  | 0.000     | 166.000    | 1992.000     | 1.814     |
| 82    | 0   | 82    | 0    | 0   | 0   | POST   | /api/app/users                      | 0.006 | 0.091 | 2.058    | 0.025 | 0.049 | 0.063 | 0.091 | 0.020  | 86.000    | 86.000     | 7052.000     | 86.000    |
| 153   | 0   | 153   | 0    | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.380 | 6.357    | 0.042 | 0.087 | 0.155 | 0.257 | 0.048  | 12.000    | 2158.000   | 38215.000    | 249.771   |
| 82    | 0   | 82    | 0    | 0   | 0   | POST   | /api/app/payment-methods            | 0.007 | 0.170 | 3.805    | 0.046 | 0.139 | 0.149 | 0.170 | 0.041  | 0.000     | 0.000      | 0.000        | 0.000     |
| 177   | 0   | 177   | 0    | 0   | 0   | POST   | /api/chair/rides/[0-9A-Z]+/status   | 0.010 | 0.158 | 8.604    | 0.049 | 0.089 | 0.108 | 0.142 | 0.029  | 0.000     | 0.000      | 0.000        | 0.000     |
| 72    | 0   | 72    | 0    | 0   | 0   | POST   | /api/chair/activity                 | 0.015 | 0.189 | 4.208    | 0.058 | 0.145 | 0.177 | 0.189 | 0.042  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1743  | 0   | 1743  | 0    | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.248 | 107.162  | 0.061 | 0.129 | 0.148 | 0.193 | 0.049  | 35.000    | 272.000    | 319170.000   | 183.115   |
| 15546 | 0   | 15546 | 0    | 0   | 0   | POST   | /api/chair/coordinate               | 0.011 | 0.284 | 1060.578 | 0.068 | 0.112 | 0.131 | 0.169 | 0.033  | 29.000    | 29.000     | 450834.000   | 29.000    |
| 120   | 0   | 120   | 0    | 0   | 0   | POST   | /api/app/rides                      | 0.009 | 0.344 | 8.991    | 0.075 | 0.124 | 0.144 | 0.221 | 0.046  | 51.000    | 53.000     | 6215.000     | 51.792    |
| 1199  | 0   | 1199  | 0    | 0   | 0   | GET    | /api/app/notification               | 0.006 | 0.510 | 136.221  | 0.114 | 0.217 | 0.258 | 0.338 | 0.076  | 262.000   | 440.000    | 449906.000   | 375.234   |
| 58    | 0   | 58    | 0    | 0   | 0   | POST   | /api/app/rides/[0-9A-Z]+/evaluation | 0.042 | 0.629 | 7.407    | 0.128 | 0.193 | 0.391 | 0.629 | 0.106  | 30.000    | 30.000     | 1740.000     | 30.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | -      | -                                   | 0.159 | 0.159 | 0.159    | 0.159 | 0.159 | 0.159 | 0.159 | 0.000  | 166.000   | 166.000    | 166.000      | 166.000   |
| 96    | 0   | 96    | 0    | 0   | 0   | GET    | /api/owner/sales                    | 0.048 | 0.326 | 15.879   | 0.165 | 0.250 | 0.271 | 0.326 | 0.065  | 373.000   | 9017.000   | 69069.000    | 719.469   |
| 3     | 0   | 3     | 0    | 0   | 0   | GET    | /api/owner/sales?                   | 0.183 | 0.186 | 0.554    | 0.185 | 0.186 | 0.186 | 0.186 | 0.001  | 9183.000  | 9183.000   | 27549.000    | 9183.000  |
| 332   | 0   | 332   | 0    | 0   | 0   | GET    | /api/owner/chairs                   | 0.162 | 3.106 | 618.720  | 1.864 | 2.823 | 2.940 | 3.062 | 0.620  | 729.000   | 19007.000  | 324923.000   | 978.684   |
| 3     | 0   | 3     | 0    | 0   | 0   | POST   | /api/initialize                     | 1.854 | 1.872 | 5.597    | 1.866 | 1.872 | 1.872 | 1.872 | 0.008  | 17.000    | 17.000     | 51.000       | 17.000    |
| 144   | 0   | 144   | 0    | 0   | 0   | GET    | /api/app/nearby-chairs              | 0.352 | 3.344 | 287.815  | 1.999 | 2.664 | 2.917 | 3.135 | 0.654  | 42.000    | 894.000    | 46670.000    | 324.097   |
+-------+-----+-------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
