+-------+-----+-----+------+-----+-----+--------+-------------------------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+------------+-------------+-----------+
| COUNT | 1XX | 2XX | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+------+-----+-----+--------+-------------------------------------+-------+-------+--------+-------+-------+-------+-------+--------+-----------+------------+-------------+-----------+
| 1     | 0   | 1   | 0    | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000   | 704.000    | 704.000     | 704.000   |
| 72    | 0   | 21  | 51   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 14784.000   | 205.333   |
| 91    | 0   | 6   | 85   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 4224.000    | 46.418    |
| 1     | 0   | 1   | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000  | 1020.000   | 1020.000    | 1020.000  |
| 1     | 0   | 1   | 0    | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000   | 783.000    | 783.000     | 783.000   |
| 162   | 0   | 26  | 136  | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 16958.000  | 440908.000  | 2721.654  |
| 162   | 0   | 26  | 136  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 336.000    | 8736.000    | 53.926    |
| 650   | 0   | 191 | 459  | 0   | 0   | GET    | /images/.+                          | 0.000 | 0.001 | 0.001  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 549793.000 | 5247328.000 | 8072.812  |
| 2737  | 0   | 595 | 2142 | 0   | 0   | GET    | /assets/.+                          | 0.000 | 0.003 | 0.019  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 184569.000 | 9251308.000 | 3380.091  |
| 45    | 0   | 45  | 0    | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.018 | 0.239  | 0.005 | 0.011 | 0.015 | 0.018 | 0.004  | 12.000    | 2158.000   | 8535.000    | 189.667   |
| 5     | 0   | 5   | 0    | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.007 | 0.032  | 0.006 | 0.007 | 0.007 | 0.007 | 0.000  | 125.000   | 125.000    | 625.000     | 125.000   |
| 32    | 0   | 32  | 0    | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.027 | 0.214  | 0.007 | 0.016 | 0.022 | 0.027 | 0.007  | 26.000    | 29.000     | 890.000     | 27.812    |
