+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000  | 1020.000   | 1020.000     | 1020.000  |
| 155   | 0   | 46   | 109  | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 32384.000    | 208.929   |
| 289   | 0   | 51   | 238  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 336.000    | 17136.000    | 59.294    |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000   | 704.000    | 704.000      | 704.000   |
| 135   | 0   | 6    | 129  | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 4224.000     | 31.289    |
| 289   | 0   | 51   | 238  | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 16958.000  | 864858.000   | 2992.588  |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000   | 783.000    | 783.000      | 783.000   |
| 1397  | 0   | 416  | 981  | 0   | 0   | GET    | /images/.+                          | 0.000 | 0.003 | 0.004   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 549793.000 | 10833978.000 | 7755.174  |
| 4958  | 0   | 1170 | 3788 | 0   | 0   | GET    | /assets/.+                          | 0.000 | 0.008 | 0.078   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 184569.000 | 18092733.000 | 3649.200  |
| 60    | 0   | 60   | 0    | 0   | 0   | POST   | /api/app/rides/estimated-fare       | 0.001 | 0.039 | 0.431   | 0.007 | 0.018 | 0.025 | 0.039 | 0.008  | 26.000    | 29.000     | 1683.000     | 28.050    |
| 5     | 0   | 5    | 0    | 0   | 0   | POST   | /api/owner/owners                   | 0.006 | 0.012 | 0.044   | 0.009 | 0.012 | 0.012 | 0.012 | 0.002  | 125.000   | 125.000    | 625.000      | 125.000   |
| 26    | 0   | 26   | 0    | 0   | 0   | POST   | /api/chair/chairs                   | 0.006 | 0.024 | 0.242   | 0.009 | 0.014 | 0.020 | 0.024 | 0.004  | 75.000    | 75.000     | 1950.000     | 75.000    |
| 239   | 0   | 232  | 0    | 0   | 7   | GET    | /api/internal/matching              | 0.001 | 0.141 | 2.323   | 0.010 | 0.031 | 0.047 | 0.106 | 0.021  | 0.000     | 166.000    | 1162.000     | 4.862     |
| 80    | 0   | 80   | 0    | 0   | 0   | GET    | /api/app/rides                      | 0.001 | 0.053 | 0.965   | 0.012 | 0.025 | 0.029 | 0.053 | 0.009  | 12.000    | 2158.000   | 9642.000     | 120.525   |
| 45    | 0   | 45   | 0    | 0   | 0   | POST   | /api/app/users                      | 0.003 | 0.050 | 0.745   | 0.017 | 0.025 | 0.034 | 0.050 | 0.010  | 86.000    | 86.000     | 3870.000     | 86.000    |
| 595   | 0   | 595  | 0    | 0   | 0   | GET    | /api/chair/notification             | 0.001 | 0.119 | 15.630  | 0.026 | 0.054 | 0.071 | 0.104 | 0.022  | 35.000    | 272.000    | 114404.000   | 192.276   |
| 34    | 0   | 34   | 0    | 0   | 0   | GET    | /api/owner/sales                    | 0.016 | 0.057 | 1.014   | 0.030 | 0.046 | 0.052 | 0.057 | 0.011  | 372.000   | 9017.000   | 24184.000    | 711.294   |
| 82    | 0   | 82   | 0    | 0   | 0   | POST   | /api/chair/rides/[0-9A-Z]+/status   | 0.010 | 0.061 | 2.449   | 0.030 | 0.045 | 0.047 | 0.061 | 0.011  | 0.000     | 0.000      | 0.000        | 0.000     |
| 535   | 0   | 535  | 0    | 0   | 0   | GET    | /api/app/notification               | 0.002 | 0.126 | 16.938  | 0.032 | 0.066 | 0.085 | 0.120 | 0.024  | 262.000   | 432.000    | 193390.000   | 361.477   |
| 56    | 0   | 56   | 0    | 0   | 0   | POST   | /api/app/rides                      | 0.009 | 0.106 | 1.928   | 0.034 | 0.070 | 0.095 | 0.106 | 0.024  | 51.000    | 52.000     | 2897.000     | 51.732    |
| 8252  | 0   | 8252 | 0    | 0   | 0   | POST   | /api/chair/coordinate               | 0.008 | 0.167 | 284.782 | 0.035 | 0.053 | 0.061 | 0.079 | 0.014  | 29.000    | 29.000     | 239308.000   | 29.000    |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /api/owner/sales?                   | 0.041 | 0.041 | 0.041   | 0.041 | 0.041 | 0.041 | 0.041 | 0.000  | 9183.000  | 9183.000   | 9183.000     | 9183.000  |
