+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 2     | 0   | 2     | 0     | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000  | 1020.000   | 2040.000     | 1020.000  |
| 589   | 0   | 136   | 453   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 95744.000    | 162.553   |
| 336   | 0   | 12    | 324   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 704.000    | 8448.000     | 25.143    |
| 5305  | 0   | 1228  | 4077  | 0   | 0   | GET    | /images/.+                          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 549793.000 | 31500460.000 | 5937.881  |
| 923   | 0   | 146   | 777   | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 16958.000  | 2475868.000  | 2682.414  |
| 923   | 0   | 146   | 777   | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 336.000    | 49056.000    | 53.148    |
| 2     | 0   | 2     | 0     | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000   | 704.000    | 1408.000     | 704.000   |
| 2     | 0   | 2     | 0     | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000   | 783.000    | 1566.000     | 783.000   |
| 15913 | 0   | 3352  | 12561 | 0   | 0   | GET    | /assets/.+                          | 0.000 | 0.001 | 0.085   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 184569.000 | 51746374.000 | 3251.830  |
